"新单元ID","名称","类型","一句话目标","来源规则","关联GP_RP","上游依赖","下游消费者","主要输入","主要输出","是否确定性","是否可训练","是否需要随机数","信息可见性等级","开发优先级","当前实现状态"
"HEUR-022","人格、水平与情绪状态消费","启发式策略","在冻结输入和版本下，独立产生「decision modifiers」并通过「座位独立及方向效应」验收。","AU-020 人类化决策规则：第 7—14 章 / 7.11 玩家风格/水平；AU-041 人类化决策规则：第 7—14 章 / 13. 玩家模型","GP-023～GP-026、GP-023～GP-027, RP-024～RP-033","STATE-006|STATE-010","HEUR-003|HEUR-004|HEUR-015|HEUR-017|HEUR-023","profile + short state","decision modifiers","是（给定版本与 seed）","否","否","仅 PlayerView/策略私有认知","P0","Partial（部分实现）"
"HEUR-023","有界近似选择与人类失误","启发式策略","在冻结输入和版本下，独立产生「chosen legal action」并通过「合法性、误差上限、复现」验收。","AU-038 人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现；AU-042 人类化决策规则：第 7—14 章 / 14. 有限认知；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线","GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-001～RP-033、GP-023～GP-027, RP-019～RP-029","ALGO-006|ALGO-007|ALGO-008|HEUR-022","AUDIT-006","checked candidates + bounded noise","chosen legal action","是（给定版本与 seed）","否","是（必须使用命名随机流）","仅 PlayerView/策略私有认知","P2","Partial（部分实现）"
"MODEL-001","逐对手归一化方向/牌型假设","概率模型","在冻结输入和版本下，独立产生「posterior hypotheses」并通过「每座独立、和为1、不确定性下限」验收。","AU-007 人类化决策规则：第 0—6 章 / 3. 独立对手模型；AU-016 人类化决策规则：第 7—14 章 / 7.3 逐家方向；AU-050 人类化决策规则：第 15—18 章与参数 / 18. 概率约束；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-006～RP-017、RP-006～RP-018、GP-023～GP-027, RP-001～RP-033、GP-001～GP-027","ALGO-003|HEUR-020|STATE-005","HEUR-007|MODEL-002","public evidence + prior","posterior hypotheses","是（冻结推理）","否","否","仅 PlayerView/公开历史","P2","Partial（部分实现）"
"MODEL-002","逐对手听牌/等待/损失风险模型","概率模型","在冻结输入和版本下，独立产生「risk distribution」并通过「校准、分层与反例」验收。","AU-037 人类化决策规则：第 7—14 章 / 10.6 防守风险；AU-050 人类化决策规则：第 15—18 章与参数 / 18. 概率约束；AU-059 程序实现规范：第 0—10 章 / 3.5 Human-like Policy；AU-075 程序实现规范：第 0—10 章 / 10.2–10.5 信念/风险","RP-006～RP-018、GP-023～GP-027, RP-001～RP-033、GP-001～GP-027","MODEL-001|ALGO-003|ALGO-004","HEUR-013|HEUR-015","public evidence + hypotheses","risk distribution","是（冻结推理）","否","否","仅 PlayerView/公开历史","P2","Partial（部分实现）"
"MODEL-003","仅公开信息的跨局对手画像学习","概率模型","在冻结输入和版本下，独立产生「next profile」并通过「冷启动、历史上限、复现」验收。","AU-003 人类化决策规则：第 0—6 章 / 1. 游戏开始；AU-041 人类化决策规则：第 7—14 章 / 13. 玩家模型；AU-047 人类化决策规则：第 15—18 章与参数 / 17. RP-033 学习输出","RP-001～RP-033、GP-023～GP-027, RP-024～RP-033、RP-033","HEUR-020|STATE-008|RULE-016","AUDIT-006","match history + bounded state","next profile","是（冻结推理）","否","否","仅 PlayerView/公开历史","P0","Scaffolded（脚手架）"
"MODEL-004","可训练策略输入输出契约","可训练模型","在冻结输入和版本下，独立产生「action distribution/value」并通过「mask 合法性和冻结推理」验收。","AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式","GP-008～GP-010","TRAIN-002|TRAIN-003","MODEL-005","observation + mask + parameters","action distribution/value","冻结推理可确定；训练未必","是","是（必须使用命名随机流）","训练受限","P0","Partial（部分实现）"
"MODEL-005","训练模型产物版本、冻结和评估生命周期","可训练模型","在冻结输入和版本下，独立产生「frozen model card/artifact」并通过「训练/评估隔离与版本拒绝（新增）」验收。","实现规范 §11.1、§18.3","无直接登记","MODEL-004|TRAIN-008|AUDIT-011","AUDIT-012","training run + data/config hashes","frozen model card/artifact","冻结推理可确定；训练未必","是","是（必须使用命名随机流）","训练受限","P1","Specified（新增边界，尚未独立验收）"
"STATE-001","Match 配置冻结、玩家装配与整场控制","状态管理","在冻结输入和版本下，独立产生「immutable match context」并通过「seat/profile/round/seed 冻结」验收。","AU-003 人类化决策规则：第 0—6 章 / 1. 游戏开始；AU-055 程序实现规范：第 0—10 章 / 3.1 Match Controller","RP-001～RP-033、GP-001～GP-027","ALGO-009|ALGO-011|STATE-010","HEUR-003|HEUR-008|SCORE-006|STATE-004|STATE-006|STATE-008|TRAIN-001","match request","immutable match context","是","否","否","权威私有","P0","Partial（部分实现）"
"STATE-002","权威 RoundState 存储与授权访问","状态管理","在冻结输入和版本下，独立产生「authoritative state」并通过「save/read ownership contract」验收。","AU-057 程序实现规范：第 0—10 章 / 3.3 State Store；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","RP-001～RP-023、RP-001～RP-033","STATE-004|STATE-011","ALGO-010|AUDIT-001|RULE-001|RULE-005|SCORE-001|STATE-003|STATE-007","atomic events","authoritative state","是","否","否","权威私有","P1","Partial（部分实现）"
"STATE-003","PlayerRoundState 手牌、副露、定缺与过胡状态","状态管理","在冻结输入和版本下，独立产生「player state」并通过「字段一致性与生命周期」验收。","AU-066 程序实现规范：第 0—10 章 / 4.3 手牌与组合；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","GP-011～GP-020、RP-001～RP-033","STATE-002|ALGO-001","ALGO-002|RULE-002|RULE-003|RULE-004|RULE-007|RULE-008|RULE-010|RULE-011","rule transitions","player state","是","否","否","权威私有","P1","Partial（部分实现）"
"STATE-004","CONFIGURED→SETTLED 状态机","状态管理","在冻结输入和版本下，独立产生「next phase or error」并通过「全转换表及非法跳转」验收。","AU-043 人类化决策规则：第 15—18 章与参数 / 15. 总体流程；AU-071 程序实现规范：第 0—10 章 / 7. 状态机/事件","GP-001～GP-027, RP-001～RP-033、RP-030～RP-032","STATE-001","AUDIT-001|AUDIT-005|RULE-006|RULE-014|RULE-016|STATE-002|STATE-009|TRAIN-001","current phase + event","next phase or error","是","否","否","权威私有","P0","Partial（部分实现）"
"STATE-005","不可变 PlayerView 状态载体","状态管理","在冻结输入和版本下，独立产生「frozen seat view」并通过「mutation rejection与schema」验收。","AU-002 人类化决策规则：第 0—6 章 / 0. 可见信息边界；AU-058 程序实现规范：第 0—10 章 / 3.4 Player View；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","GP-021、RP-001～RP-033","ALGO-010","ALGO-003|HEUR-006|HEUR-007|HEUR-016|HEUR-020|MODEL-001|STATE-006|STATE-009|TRAIN-002","builder output","frozen seat view","是","否","否","座位可见","P1","Partial（部分实现）"
"STATE-006","策略侧认知运行态初始化与归档","状态管理","在冻结输入和版本下，独立产生「cognition state/snapshot」并通过「不进入权威 GameState」验收。","AU-003 人类化决策规则：第 0—6 章 / 1. 游戏开始；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","RP-001～RP-033","STATE-001|STATE-005|STATE-010","AUDIT-002|HEUR-005|HEUR-019|HEUR-020|HEUR-022|STATE-008","round start/end","cognition state/snapshot","是","否","否","策略私有","P0","Partial（部分实现）"
"STATE-007","存档 schema 持久化与迁移","状态管理","在冻结输入和版本下，独立产生「current state or error」并通过「真实/合成迁移夹具」验收。","AU-095 程序实现规范：第 11—19 章 / 18. 版本/兼容","GP-001","STATE-002|ALGO-009","AUDIT-004|AUDIT-011","state v1–v5","current state or error","是","否","否","权威私有","P0","Partial（部分实现）"
"STATE-008","跨局比分、认知和 episode 状态继承","状态管理","在冻结输入和版本下，独立产生「next-round context」并通过「允许/禁止继承字段」验收。","AU-055 程序实现规范：第 0—10 章 / 3.1 Match Controller；AU-081 程序实现规范：第 11—19 章 / 11.5 Episode","GP-001～GP-027、RP-024～RP-032","STATE-001|SCORE-006|STATE-006","MODEL-003","round result","next-round context","是","否","否","权威私有","P0","Partial（部分实现）"
"STATE-009","决策请求上下文与生命周期","状态管理","在冻结输入和版本下，独立产生「request/result」并通过「超期、重复、错误 seat」验收。","AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线","GP-023～GP-027, RP-019～RP-029","STATE-004|STATE-005|RULE-001","ALGO-006|ALGO-008|AUDIT-002|HEUR-017|HEUR-019|STATE-012|TRAIN-003","phase + PlayerView + legal set","request/result","是","否","否","权威私有","P3","Integrated（历史 EV4/report-only）"
"STATE-010","GP/RP/Profile 注册与生命周期","状态管理","在冻结输入和版本下，独立产生「owned parameter state」并通过「唯一性、逐座化、归档」验收。","AU-004 人类化决策规则：第 0—6 章 / 2. 学习规则；AU-045 人类化决策规则：第 15—18 章与参数 / 17. GP 注册；AU-046 人类化决策规则：第 15—18 章与参数 / 17. RP 注册；AU-069 程序实现规范：第 0—10 章 / 5. 配置模型；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","GP-001～GP-027、RP-001～RP-033","无","ALGO-007|ALGO-009|ALGO-011|HEUR-003|HEUR-022|RULE-001|RULE-015|RULE-016|STATE-001|STATE-006|TRAIN-009","source config + phase","owned parameter state","是","否","否","权威私有","P0","Partial（部分实现）"
"STATE-011","牌墙构建、洗牌与初始发牌","状态管理","在冻结输入和版本下，独立产生「wall/hands」并通过「108张守恒与发牌数量（新增）」验收。","实现规范 §4.1、§7.2；规则文档 §1/§4","无直接登记","ALGO-011","ALGO-001|ALGO-004|ALGO-005|RULE-002|RULE-006|RULE-008|RULE-012|STATE-002","named RNG + player count","wall/hands","是","否","是（必须使用命名随机流）","权威私有","P0","Specified（新增边界，尚未独立验收）"
"STATE-012","策略超时、崩溃与合法默认动作回退","状态管理","在冻结输入和版本下，独立产生「fallback result」并通过「超时/异常/唯一动作（新增）」验收。","规则文档 §14.11；实现规范 §9.3","GP-024～GP-026, RP-024～RP-029","STATE-009|ALGO-006","AUDIT-006","request + deadline/failure + legal set","fallback result","是","否","否","权威私有","P0","Specified（新增边界，尚未独立验收）"
"SCORE-001","分数账本分层与守恒","计分","在冻结输入和版本下，独立产生「ledger/before/after」并通过「每事件零和及层级一致」验收。","AU-068 程序实现规范：第 0—10 章 / 4.5 计分对象；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-011～GP-020, RP-022～RP-023、无直接GP/RP；测试追踪","STATE-002","AUDIT-005|SCORE-002|SCORE-003|SCORE-004|SCORE-006|TRAIN-005","score events","ledger/before/after","是","否","否","权威私有；结果按规则公开","P0","Partial（部分实现）"
"SCORE-002","自摸、点炮与抢杠胡计分","计分","在冻结输入和版本下，独立产生「hu transfers」并通过「三类胡及多人支付」验收。","AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-061 程序实现规范：第 0—10 章 / 3.7 Scoring","GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","RULE-010|RULE-015|SCORE-001","SCORE-005","hu facts + fan policy","hu transfers","是","否","否","权威私有；结果按规则公开","P0","Partial（部分实现）"
"SCORE-003","明/暗/补杠与呼叫转移计分","计分","在冻结输入和版本下，独立产生「gang transfers」并通过「杠类型、抢杠与转移」验收。","AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应；AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-061 程序实现规范：第 0—10 章 / 3.7 Scoring","GP-014～GP-020、GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","RULE-008|RULE-009|SCORE-001","HEUR-013|SCORE-005","gang events + rules","gang transfers","是","否","否","权威私有；结果按规则公开","P0","Partial（部分实现）"
"SCORE-004","花猪、查大叫与退税终局调整","计分","在冻结输入和版本下，独立产生「adjustments」并通过「顺序、资格与边界」验收。","AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-061 程序实现规范：第 0—10 章 / 3.7 Scoring","GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","RULE-004|RULE-015|SCORE-001","SCORE-005","end state + rules","adjustments","是","否","否","权威私有；结果按规则公开","P0","Partial（部分实现）"
"SCORE-005","封顶、互斥和转移结算顺序","计分","在冻结输入和版本下，独立产生「final transfers」并通过「封顶前后次序」验收。","AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-061 程序实现规范：第 0—10 章 / 3.7 Scoring","GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","RULE-015|SCORE-002|SCORE-003|SCORE-004","SCORE-006","raw components + cap policy","final transfers","是","否","否","权威私有；结果按规则公开","P0","Partial（部分实现）"
"SCORE-006","单局总分、整场累计与排名","计分","在冻结输入和版本下，独立产生「result/rank」并通过「守恒、并列及提前终止」验收。","AU-039 人类化决策规则：第 7—14 章 / 11. 胡后处理；AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-055 程序实现规范：第 0—10 章 / 3.1 Match Controller","GP-011～GP-020、GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","SCORE-001|SCORE-005|STATE-001","HEUR-008|STATE-008","ledgers + prior standings","result/rank","是","否","否","权威私有；结果按规则公开","P0","Partial（部分实现）"
"TRAIN-001","复用生产规则的训练包装","训练接口","在冻结输入和版本下，独立产生「training transition」并通过「与生产边界等价」验收。","AU-063 程序实现规范：第 0—10 章 / 3.9 Training wrapper；AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式","GP-003、GP-008～GP-010","STATE-001|STATE-004|RULE-001","AUDIT-013|TRAIN-006","engine config + agents","training transition","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView","P0","Partial（部分实现）"
"TRAIN-002","Observation v2 编码","训练接口","在冻结输入和版本下，独立产生「fixed observation」并通过「schema、范围、泄漏」验收。","AU-078 程序实现规范：第 11—19 章 / 11.2 观测空间","GP-011～GP-020","STATE-005|ALGO-010","MODEL-004|TRAIN-005|TRAIN-006|TRAIN-008","PlayerView + optional cognition","fixed observation","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView","P1","Partial（部分实现）"
"TRAIN-003","固定动作 codec 与 legal mask","训练接口","在冻结输入和版本下，独立产生「action ids/mask」并通过「encode/decode 双射」验收。","AU-079 程序实现规范：第 11—19 章 / 11.3 动作空间","RP-022, RP-033","RULE-001|STATE-009","MODEL-004|TRAIN-004|TRAIN-006|TRAIN-008","legal actions","action ids/mask","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView","P3","Integrated（历史 EV4/report-only）"
"TRAIN-004","非法训练动作处理契约","训练接口","在冻结输入和版本下，独立产生「raise/terminate/penalty」并通过「各模式精确结果」验收。","AU-079 程序实现规范：第 11—19 章 / 11.3 动作空间","RP-022, RP-033","TRAIN-003","AUDIT-006","action id + mask + mode","raise/terminate/penalty","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView","P3","Integrated（历史 EV4/report-only）"
"TRAIN-005","真实得分与可见势能奖励契约","训练接口","在冻结输入和版本下，独立产生「reward components」并通过「shaping 分离与默认关闭」验收。","AU-080 程序实现规范：第 11—19 章 / 11.4 奖励","RP-030～RP-032","SCORE-001|TRAIN-002","TRAIN-006","transition + visible potential","reward components","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView","P3","Integrated（历史 EV4/report-only）"
"TRAIN-006","单 learner reset/step/mask/clone/restore","训练接口","在冻结输入和版本下，独立产生「transition/snapshot」并通过「round-trip restore」验收。","AU-081 程序实现规范：第 11—19 章 / 11.5 Episode；AU-086 程序实现规范：第 11—19 章 / 13.5 训练接口","RP-024～RP-032、RP-030～RP-032","TRAIN-001|TRAIN-002|TRAIN-003|TRAIN-005","AUDIT-009|TRAIN-007","env state + learner action","transition/snapshot","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView","P0","Partial（部分实现）"
"TRAIN-007","多玩家 ActionMap 与自博弈调度","训练接口","在冻结输入和版本下，独立产生「joint transition」并通过「同步动作与座位轮换」验收。","AU-063 程序实现规范：第 0—10 章 / 3.9 Training wrapper；AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式；AU-086 程序实现规范：第 11—19 章 / 13.5 训练接口","GP-003、GP-008～GP-010、RP-030～RP-032","TRAIN-006|RULE-013","AUDIT-006","joint observations/actions","joint transition","接口是；训练过程未必","否","是（必须使用命名随机流）","训练受限；策略输入不超过 PlayerView","P0","Partial（部分实现）"
"TRAIN-008","离线 BC 与回放 RL 数据消费","训练接口","在冻结输入和版本下，独立产生「batches/updates」并通过「split、mask、版本契约」验收。","AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式","GP-008～GP-010","TRAIN-002|TRAIN-003|AUDIT-014","MODEL-005","versioned trajectories","batches/updates","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView","P0","Partial（部分实现）"
"TRAIN-009","房规、profile 与行为域随机化","训练接口","在冻结输入和版本下，独立产生「sampled domain」并通过「可复现及越界拒绝」验收。","AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式","GP-008～GP-010","STATE-010|ALGO-011","AUDIT-006","domain seed + allowed ranges","sampled domain","接口是；训练过程未必","否","是（必须使用命名随机流）","训练受限；策略输入不超过 PlayerView","P0","Partial（部分实现）"
"AUDIT-001","全原子规则事件日志","日志审计","在冻结输入和版本下，独立产生「public payload/private refs」并通过「事件覆盖与历史不可变」验收。","AU-029 人类化决策规则：第 7—14 章 / 8.8 信息边界；AU-062 程序实现规范：第 0—10 章 / 3.8 Replay/Audit；AU-071 程序实现规范：第 0—10 章 / 7. 状态机/事件；AU-082 程序实现规范：第 11—19 章 / 12.1 事件日志","GP-021, RP-031、GP-004、RP-030～RP-032、RP-024～RP-032","STATE-004|STATE-002","AUDIT-003|AUDIT-014","state transition","public payload/private refs","是","否","否","私有审计","P0","Partial（部分实现）"
"AUDIT-002","AI 决策解释日志","日志审计","在冻结输入和版本下，独立产生「view/memory/plan/scores/action trace」并通过「字段完整与敏感边界」验收。","AU-029 人类化决策规则：第 7—14 章 / 8.8 信息边界；AU-038 人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现；AU-041 人类化决策规则：第 7—14 章 / 13. 玩家模型；AU-062 程序实现规范：第 0—10 章 / 3.8 Replay/Audit；AU-083 程序实现规范：第 11—19 章 / 12.2 AI 决策日志","GP-021, RP-031、GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-024～RP-033、GP-004、RP-024～RP-032","STATE-009|STATE-006|ALGO-007","AUDIT-003|AUDIT-014","decision pipeline","view/memory/plan/scores/action trace","是","否","否","私有审计","P0","Partial（部分实现）"
"AUDIT-003","canonical hash 链与篡改检测","日志审计","在冻结输入和版本下，独立产生「verified/rejected」并通过「篡改、截断、重排」验收。","AU-062 程序实现规范：第 0—10 章 / 3.8 Replay/Audit；AU-082 程序实现规范：第 11—19 章 / 12.1 事件日志；AU-083 程序实现规范：第 11—19 章 / 12.2 AI 决策日志","GP-004、RP-024～RP-032","AUDIT-001|AUDIT-002","AUDIT-004","ordered records + hashes","verified/rejected","是","否","否","私有审计","P0","Partial（部分实现）"
"AUDIT-004","同配置/seed/事件的确定性回放","日志审计","在冻结输入和版本下，独立产生「replay comparison」并通过「state/action/score 一致」验收。","AU-062 程序实现规范：第 0—10 章 / 3.8 Replay/Audit；AU-084 程序实现规范：第 11—19 章 / 12.3 确定性回放","GP-004、GP-001～GP-027","AUDIT-003|ALGO-008|STATE-007","AUDIT-009","retained artifact","replay comparison","是","否","否","私有审计","P0","Partial（部分实现）"
"AUDIT-005","每事件强制不变量执行","日志审计","在冻结输入和版本下，独立产生「pass or explicit failure」并通过「守恒、actor、legal、view、账本」验收。","AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-071 程序实现规范：第 0—10 章 / 7. 状态机/事件；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-001～GP-027, RP-001～RP-033、RP-030～RP-032、无直接GP/RP；测试追踪","STATE-004|ALGO-001|RULE-001|SCORE-001","AUDIT-006|AUDIT-007","post-event state","pass or explicit failure","是","否","否","私有审计","P0","Partial（部分实现）"
"AUDIT-006","直接规则与接口测试证据门禁","日志审计","在冻结输入和版本下，独立产生「coverage status」并通过「测试正文与断言语义复核」验收。","AU-088 程序实现规范：第 11—19 章 / 14.2 单元测试清单","无直接GP/RP；测试生成","AUDIT-005","AUDIT-008|AUDIT-011","assertion catalog + test results","coverage status","是","否","否","私有审计","P1","Partial（部分实现）"
"AUDIT-007","属性式生成、缩减与不变量证据","日志审计","在冻结输入和版本下，独立产生「minimized failures/report」并通过「状态空间与缩减可复核」验收。","AU-089 程序实现规范：第 11—19 章 / 14.3 属性测试","无直接GP/RP；测试生成","AUDIT-005|ALGO-011","发布门禁","generators + seeds","minimized failures/report","是","否","是（必须使用命名随机流）","私有审计","P0","Partial（部分实现）"
"AUDIT-008","锁定来源逐章 golden-case 对照","日志审计","在冻结输入和版本下，独立产生「per-clause result」并通过「0–18章及profile允许集」验收。","AU-043 人类化决策规则：第 15—18 章与参数 / 15. 总体流程；AU-090 程序实现规范：第 11—19 章 / 14.4 章节对照测试","GP-001～GP-027, RP-001～RP-033","AUDIT-006|AUDIT-010","发布门禁","source clauses + cases","per-clause result","是","否","否","私有审计","P1","Scaffolded（脚手架）"
"AUDIT-009","工程与行为回归指标","日志审计","在冻结输入和版本下，独立产生「metric report/CI」并通过「合法、复现、性能、风格」验收。","AU-091 程序实现规范：第 11—19 章 / 14.5 回归指标","RP-030～RP-033","AUDIT-004|TRAIN-006","AUDIT-012","retained runs","metric report/CI","是","否","否","私有审计","P2","Partial（部分实现）"
"AUDIT-010","来源→参数→实现→测试全链追踪","日志审计","在冻结输入和版本下，独立产生「trace matrix」并通过「断链、版本和公式元数据」验收。","AU-092 程序实现规范：第 11—19 章 / 15. 源规则追踪","GP-001～GP-027, RP-001～RP-033","无","AUDIT-008|AUDIT-011","catalogs/manifests","trace matrix","是","否","否","项目元数据","P0","Partial（部分实现）"
"AUDIT-011","版本、迁移与发布物完整性","日志审计","在冻结输入和版本下，独立产生「manifest/gate result」并通过「schema/test/migration/hash/tag」验收。","AU-048 人类化决策规则：第 15—18 章与参数 / 18. 数值校验；AU-051 程序实现规范：第 0—10 章 / 0–1. 版本与源绑定；AU-095 程序实现规范：第 11—19 章 / 18. 版本/兼容","GP-001～GP-027、GP-001","ALGO-009|STATE-007|AUDIT-006|AUDIT-010","MODEL-005","release candidate","manifest/gate result","是","否","否","项目元数据","P0","Partial（部分实现）"
"AUDIT-012","强度、真人相似和学习效果外部评价","日志审计","在冻结输入和版本下，独立产生「statistics/CI」并通过「E5、盲测与 Not Evaluated」验收。","AU-091 程序实现规范：第 11—19 章 / 14.5 回归指标","RP-030～RP-033","AUDIT-009|AUDIT-014|MODEL-005","发布门禁","frozen datasets + policies","statistics/CI","是","否","否","私有审计","P2","Partial（部分实现）"
"AUDIT-013","模块依赖、接口与信息流架构契约","日志审计","在冻结输入和版本下，独立产生「violations/report」并通过「禁止反向依赖和 oracle 泄漏」验收。","AU-054 程序实现规范：第 0—10 章 / 3. 九模块架构；AU-085 程序实现规范：第 11—19 章 / 13.1–13.4 接口；AU-093 程序实现规范：第 11—19 章 / 16. 项目结构","GP-001～GP-027, RP-001～RP-033、GP-001～GP-027、无直接GP/RP；架构约束","RULE-016|ALGO-010|TRAIN-001","发布门禁","source graph + interfaces","violations/report","是","否","否","项目元数据","P1","Integrated（历史 EV4/report-only）"
"AUDIT-014","证据数据保留、脱敏与新鲜度管理","日志审计","在冻结输入和版本下，独立产生「retained manifest」并通过「current-run/report-only/敏感数据」验收。","AU-083 程序实现规范：第 11—19 章 / 12.2 AI 决策日志","RP-024～RP-032","AUDIT-001|AUDIT-002","AUDIT-012|TRAIN-008","run artifacts + policy","retained manifest","是","否","否","私有审计","P2","Integrated（历史 EV4/report-only）"
