source_rule_refs,parameter_refs,unit_id,unit_name,unit_type,target_module,detailed_spec,detail_status,primary_inputs,primary_outputs,determinism,trainable,rng,visibility
"AU-043 人类化决策规则：第 15—18 章与参数 / 15. 总体流程；AU-071 程序实现规范：第 0—10 章 / 7. 状态机/事件","GP-001～GP-027, RP-001～RP-033、RP-030～RP-032","STATE-004","CONFIGURED→SETTLED 状态机","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","current phase + event","next phase or error","是","否","否","权威私有"
"AU-002 人类化决策规则：第 0—6 章 / 0. 可见信息边界；AU-058 程序实现规范：第 0—10 章 / 3.4 Player View；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","GP-021、RP-001～RP-033","STATE-005","不可变 PlayerView 状态载体","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","builder output","frozen seat view","是","否","否","座位可见"
"AU-003 人类化决策规则：第 0—6 章 / 1. 游戏开始；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","RP-001～RP-033","STATE-006","策略侧认知运行态初始化与归档","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","round start/end","cognition state/snapshot","是","否","否","策略私有"
"AU-095 程序实现规范：第 11—19 章 / 18. 版本/兼容","GP-001","STATE-007","存档 schema 持久化与迁移","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","state v1–v5","current state or error","是","否","否","权威私有"
"AU-055 程序实现规范：第 0—10 章 / 3.1 Match Controller；AU-081 程序实现规范：第 11—19 章 / 11.5 Episode","GP-001～GP-027、RP-024～RP-032","STATE-008","跨局比分、认知和 episode 状态继承","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","round result","next-round context","是","否","否","权威私有"
"AU-073 程序实现规范：第 0—10 章 / 9. AI 决策管线","GP-023～GP-027, RP-019～RP-029","STATE-009","决策请求上下文与生命周期","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","phase + PlayerView + legal set","request/result","是","否","否","权威私有"
"AU-004 人类化决策规则：第 0—6 章 / 2. 学习规则；AU-045 人类化决策规则：第 15—18 章与参数 / 17. GP 注册；AU-046 人类化决策规则：第 15—18 章与参数 / 17. RP 注册；AU-069 程序实现规范：第 0—10 章 / 5. 配置模型；AU-070 程序实现规范：第 0—10 章 / 6. Round/Player/View 状态","GP-001～GP-027、RP-001～RP-033","STATE-010","GP/RP/Profile 注册与生命周期","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","source config + phase","owned parameter state","是","否","否","权威私有"
"实现规范 §4.1、§7.2；规则文档 §1/§4","无直接登记","STATE-011","牌墙构建、洗牌与初始发牌","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","named RNG + player count","wall/hands","是","否","是（必须使用命名随机流）","权威私有"
"规则文档 §14.11；实现规范 §9.3","GP-024～GP-026, RP-024～RP-029","STATE-012","策略超时、崩溃与合法默认动作回退","状态管理","engine/state","03-unit-specs/deterministic_rule_state_specs.md","Locked / Not Evaluated","request + deadline/failure + legal set","fallback result","是","否","否","权威私有"
"AU-068 程序实现规范：第 0—10 章 / 4.5 计分对象；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-011～GP-020, RP-022～RP-023、无直接GP/RP；测试追踪","SCORE-001","分数账本分层与守恒","计分","engine/scoring","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","score events","ledger/before/after","是","否","否","权威私有；结果按规则公开"
"AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-061 程序实现规范：第 0—10 章 / 3.7 Scoring","GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","SCORE-002","自摸、点炮与抢杠胡计分","计分","engine/scoring","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","hu facts + fan policy","hu transfers","是","否","否","权威私有；结果按规则公开"
"AU-033 人类化决策规则：第 7—14 章 / 9.3 杠牌响应；AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-061 程序实现规范：第 0—10 章 / 3.7 Scoring","GP-014～GP-020、GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","SCORE-003","明/暗/补杠与呼叫转移计分","计分","engine/scoring","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","gang events + rules","gang transfers","是","否","否","权威私有；结果按规则公开"
"AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-061 程序实现规范：第 0—10 章 / 3.7 Scoring","GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","SCORE-004","花猪、查大叫与退税终局调整","计分","engine/scoring","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","end state + rules","adjustments","是","否","否","权威私有；结果按规则公开"
"AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-061 程序实现规范：第 0—10 章 / 3.7 Scoring","GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","SCORE-005","封顶、互斥和转移结算顺序","计分","engine/scoring","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","raw components + cap policy","final transfers","是","否","否","权威私有；结果按规则公开"
"AU-039 人类化决策规则：第 7—14 章 / 11. 胡后处理；AU-040 人类化决策规则：第 7—14 章 / 12. 终局计分；AU-055 程序实现规范：第 0—10 章 / 3.1 Match Controller","GP-011～GP-020、GP-023～GP-026, RP-024～RP-033、GP-001～GP-027","SCORE-006","单局总分、整场累计与排名","计分","engine/scoring","03-unit-specs/deterministic_algorithm_scoring_specs.md","Locked / Not Evaluated","ledgers + prior standings","result/rank","是","否","否","权威私有；结果按规则公开"
"AU-063 程序实现规范：第 0—10 章 / 3.9 Training wrapper；AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式","GP-003、GP-008～GP-010","TRAIN-001","复用生产规则的训练包装","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","engine config + agents","training transition","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView"
"AU-078 程序实现规范：第 11—19 章 / 11.2 观测空间","GP-011～GP-020","TRAIN-002","Observation v2 编码","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","PlayerView + optional cognition","fixed observation","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView"
"AU-079 程序实现规范：第 11—19 章 / 11.3 动作空间","RP-022, RP-033","TRAIN-003","固定动作 codec 与 legal mask","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","legal actions","action ids/mask","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView"
"AU-079 程序实现规范：第 11—19 章 / 11.3 动作空间","RP-022, RP-033","TRAIN-004","非法训练动作处理契约","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","action id + mask + mode","raise/terminate/penalty","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView"
"AU-080 程序实现规范：第 11—19 章 / 11.4 奖励","RP-030～RP-032","TRAIN-005","真实得分与可见势能奖励契约","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","transition + visible potential","reward components","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView"
"AU-081 程序实现规范：第 11—19 章 / 11.5 Episode；AU-086 程序实现规范：第 11—19 章 / 13.5 训练接口","RP-024～RP-032、RP-030～RP-032","TRAIN-006","单 learner reset/step/mask/clone/restore","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","env state + learner action","transition/snapshot","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView"
"AU-063 程序实现规范：第 0—10 章 / 3.9 Training wrapper；AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式；AU-086 程序实现规范：第 11—19 章 / 13.5 训练接口","GP-003、GP-008～GP-010、RP-030～RP-032","TRAIN-007","多玩家 ActionMap 与自博弈调度","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","joint observations/actions","joint transition","接口是；训练过程未必","否","是（必须使用命名随机流）","训练受限；策略输入不超过 PlayerView"
"AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式","GP-008～GP-010","TRAIN-008","离线 BC 与回放 RL 数据消费","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","versioned trajectories","batches/updates","接口是；训练过程未必","否","否","训练受限；策略输入不超过 PlayerView"
"AU-077 程序实现规范：第 11—19 章 / 11.1 训练模式","GP-008～GP-010","TRAIN-009","房规、profile 与行为域随机化","训练接口","training","03-unit-specs/training_environment_specs.md","Locked / Not Evaluated","domain seed + allowed ranges","sampled domain","接口是；训练过程未必","否","是（必须使用命名随机流）","训练受限；策略输入不超过 PlayerView"
"AU-029 人类化决策规则：第 7—14 章 / 8.8 信息边界；AU-062 程序实现规范：第 0—10 章 / 3.8 Replay/Audit；AU-071 程序实现规范：第 0—10 章 / 7. 状态机/事件；AU-082 程序实现规范：第 11—19 章 / 12.1 事件日志","GP-021, RP-031、GP-004、RP-030～RP-032、RP-024～RP-032","AUDIT-001","全原子规则事件日志","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","state transition","public payload/private refs","是","否","否","私有审计"
"AU-029 人类化决策规则：第 7—14 章 / 8.8 信息边界；AU-038 人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现；AU-041 人类化决策规则：第 7—14 章 / 13. 玩家模型；AU-062 程序实现规范：第 0—10 章 / 3.8 Replay/Audit；AU-083 程序实现规范：第 11—19 章 / 12.2 AI 决策日志","GP-021, RP-031、GP-024～GP-026, RP-024～RP-029、GP-023～GP-027, RP-024～RP-033、GP-004、RP-024～RP-032","AUDIT-002","AI 决策解释日志","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","decision pipeline","view/memory/plan/scores/action trace","是","否","否","私有审计"
"AU-062 程序实现规范：第 0—10 章 / 3.8 Replay/Audit；AU-082 程序实现规范：第 11—19 章 / 12.1 事件日志；AU-083 程序实现规范：第 11—19 章 / 12.2 AI 决策日志","GP-004、RP-024～RP-032","AUDIT-003","canonical hash 链与篡改检测","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","ordered records + hashes","verified/rejected","是","否","否","私有审计"
"AU-062 程序实现规范：第 0—10 章 / 3.8 Replay/Audit；AU-084 程序实现规范：第 11—19 章 / 12.3 确定性回放","GP-004、GP-001～GP-027","AUDIT-004","同配置/seed/事件的确定性回放","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","retained artifact","replay comparison","是","否","否","私有审计"
"AU-053 程序实现规范：第 0—10 章 / 2. IR-001～018；AU-071 程序实现规范：第 0—10 章 / 7. 状态机/事件；AU-087 程序实现规范：第 11—19 章 / 14.1 每事件断言","GP-001～GP-027, RP-001～RP-033、RP-030～RP-032、无直接GP/RP；测试追踪","AUDIT-005","每事件强制不变量执行","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","post-event state","pass or explicit failure","是","否","否","私有审计"
"AU-088 程序实现规范：第 11—19 章 / 14.2 单元测试清单","无直接GP/RP；测试生成","AUDIT-006","直接规则与接口测试证据门禁","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","assertion catalog + test results","coverage status","是","否","否","私有审计"
"AU-089 程序实现规范：第 11—19 章 / 14.3 属性测试","无直接GP/RP；测试生成","AUDIT-007","属性式生成、缩减与不变量证据","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","generators + seeds","minimized failures/report","是","否","是（必须使用命名随机流）","私有审计"
"AU-043 人类化决策规则：第 15—18 章与参数 / 15. 总体流程；AU-090 程序实现规范：第 11—19 章 / 14.4 章节对照测试","GP-001～GP-027, RP-001～RP-033","AUDIT-008","锁定来源逐章 golden-case 对照","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","source clauses + cases","per-clause result","是","否","否","私有审计"
"AU-091 程序实现规范：第 11—19 章 / 14.5 回归指标","RP-030～RP-033","AUDIT-009","工程与行为回归指标","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","retained runs","metric report/CI","是","否","否","私有审计"
"AU-092 程序实现规范：第 11—19 章 / 15. 源规则追踪","GP-001～GP-027, RP-001～RP-033","AUDIT-010","来源→参数→实现→测试全链追踪","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","catalogs/manifests","trace matrix","是","否","否","项目元数据"
"AU-048 人类化决策规则：第 15—18 章与参数 / 18. 数值校验；AU-051 程序实现规范：第 0—10 章 / 0–1. 版本与源绑定；AU-095 程序实现规范：第 11—19 章 / 18. 版本/兼容","GP-001～GP-027、GP-001","AUDIT-011","版本、迁移与发布物完整性","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","release candidate","manifest/gate result","是","否","否","项目元数据"
"AU-091 程序实现规范：第 11—19 章 / 14.5 回归指标","RP-030～RP-033","AUDIT-012","强度、真人相似和学习效果外部评价","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","frozen datasets + policies","statistics/CI","是","否","否","私有审计"
"AU-054 程序实现规范：第 0—10 章 / 3. 九模块架构；AU-085 程序实现规范：第 11—19 章 / 13.1–13.4 接口；AU-093 程序实现规范：第 11—19 章 / 16. 项目结构","GP-001～GP-027, RP-001～RP-033、GP-001～GP-027、无直接GP/RP；架构约束","AUDIT-013","模块依赖、接口与信息流架构契约","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","source graph + interfaces","violations/report","是","否","否","项目元数据"
"AU-083 程序实现规范：第 11—19 章 / 12.2 AI 决策日志","RP-024～RP-032","AUDIT-014","证据数据保留、脱敏与新鲜度管理","日志审计","engine/audit + docs/evidence","03-unit-specs/audit_specs.md","Locked / Not Evaluated","run artifacts + policy","retained manifest","是","否","否","私有审计"
