原审计ID,名称,目标功能,所属规则章节,关联GP_RP参数,声称的实现文件,实际找到的实现符号,调用方,测试文件,测试用例,运行证据,当前状态,历史证据等级（legacy EV）,缺失内容,阻塞依赖,建议优先级,原审计状态,原审计声明,原审计边界
AU-027,有限记忆,衰减、模糊、显著事件强化、遗忘后不无因精确恢复,人类化决策规则：第 7—14 章 / 8.5 有限记忆,"GP-024, RP-024",players/humanlike/memory.py,players/humanlike/memory.py:93::MemoryStore; players/humanlike/memory.py:106::update; players/humanlike/memory.py:62::extract_visible_tokens,players/humanlike/cognition.py:43::MemoryStore; players/humanlike/cognition.py:82::extract_visible_tokens,tests/humanlike_v2/test_cognition.py,tests/humanlike_v2/test_cognition.py::test_memory_decay_fuzziness_and_public_reinforcement; tests/humanlike_v2/test_cognition.py::test_cumulative_visible_history_is_not_a_new_memory_prompt; tests/humanlike_v2/test_cognition.py::test_memory_capacity_evicts_stably,docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,TESTED,EV3,原审计边界说明（未找到明确缺口）：以可见事件步数为时间，行为确定可复现；不是神经或个体化长期记忆,无已识别硬阻塞,P3,完成,`memory.py`；衰减/模糊/强化/容量测试,以可见事件步数为时间，行为确定可复现；不是神经或个体化长期记忆
AU-028,行为序列与反观察,根据出牌顺序和行为变化推断，也考虑自己的信息暴露,人类化决策规则：第 7—14 章 / 8.6–8.7 行为序列/反观察,RP-006～RP-017,未找到,未找到,未找到,未找到,未找到,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,SPECIFIED,EV0,声称的实现文件未找到；未找到非占位实现符号；未找到生产调用方；未找到同时调用候选符号并含有效断言的测试；能消费出牌序列；Humanlike v2 未显式建模“对手如何观察自己”的二阶信念,当前Windows .venv不可执行，无法补做当前运行验证,P2,部分完成,discard history、F0010 predictor、memory,能消费出牌序列；Humanlike v2 未显式建模“对手如何观察自己”的二阶信念
AU-029,局中/终局信息边界,局中公开信息与终局公开信息分离,人类化决策规则：第 7—14 章 / 8.8 信息边界,"GP-021, RP-031",engine/audit.py; protocols/player_view_builder.py,engine/audit.py:77::DecisionAuditWriter; engine/audit.py:115::record_decision; engine/audit.py:240::verify_audit; protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict,engine/orchestrator.py:140::DecisionAuditWriter; players/humanlike/audit_replay.py:32::verify_audit; protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict,tests/humanlike_v2/test_audit_replay.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_audit_replay.py::test_writer_verifier_and_footer_contract; tests/humanlike_v2/test_audit_replay.py::test_tampering_and_truncation_are_detected; tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/humanlike_v2/test_audit_replay.py::test_runner_audit_verifies_and_policy_replays; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：private audit 保留历史观测；普通 legacy steps 仍含全状态，按私有文件管理,无已识别硬阻塞,P3,完成,immutable PlayerView audit、view hash、终局不覆写测试,private audit 保留历史观测；普通 legacy steps 仍含全状态，按私有文件管理
AU-030,剩余机会,估计各家剩余摸牌机会，碰杠胡后重算,人类化决策规则：第 7—14 章 / 8.9 剩余机会,"RP-018, RP-021",engine/blood_battle.py; engine/session.py; engine/orchestrator.py; engine/legal.py,engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active; engine/blood_battle.py:474::apply_action; engine/session.py:33::GameSession; engine/session.py:68::apply; engine/session.py:161::play_random_game; engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run,engine/blood_battle.py:146::active_seats; engine/blood_battle.py:162::next_active; engine/orchestrator.py:234::next_active; training/env.py:415::next_active; engine/session.py:77::apply_action; main.py:144::GameSession,tests/humanlike_v2/test_humanlike_player_integration.py; tests/test_blood_battle.py,tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/test_blood_battle.py::test_b02_discard_pass_cycle; tests/test_blood_battle.py::test_force_complete_response_unblocks; tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu; tests/test_blood_battle.py::test_b10_random_games_terminate; tests/test_blood_battle.py::test_b11_more_random; tests/test_blood_battle.py::test_illegal_action,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,PARTIAL,EV3,引擎轮转准确；策略侧没有完整的区间模拟器作为主要决策输入,无已识别硬阻塞,P3,部分完成,state/runtime 有活动顺序和 wall；RP slot,引擎轮转准确；策略侧没有完整的区间模拟器作为主要决策输入
AU-031,响应优先,合法性先于策略，多人响应确定解析,人类化决策规则：第 7—14 章 / 9.1 响应优先,GP-008～GP-010,engine/legal.py; players/humanlike/candidates.py; engine/blood_battle.py; engine/session.py; engine/orchestrator.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/test_analysis.py,tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_analysis.py::test_an03_strategy_best_min_shanten,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：胡优先与多人胡确定；GP-008 所有优先组合未形成完整参数化测试矩阵,无已识别硬阻塞,P0,完成,legal/session/blood_battle；响应与多响测试,胡优先与多人胡确定；GP-008 所有优先组合未形成完整参数化测试矩阵
AU-032,胡牌响应,自摸/点炮/抢杠、可放弃/强制胡、过胡,人类化决策规则：第 7—14 章 / 9.2 胡牌响应,"GP-009, GP-010",engine/legal.py; players/humanlike/candidates.py; engine/blood_battle.py; engine/session.py; engine/orchestrator.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/test_analysis.py,tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_analysis.py::test_an03_strategy_best_min_shanten,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,核心胡路径存在；“最后若干张能胡必胡”和所有过胡恢复模式证据不足,无已识别硬阻塞,P0,部分完成,win_check/legal/blood_battle、qiang-gang 与 pass-hu 状态,核心胡路径存在；“最后若干张能胡必胡”和所有过胡恢复模式证据不足
AU-033,杠牌响应,明/暗/补杠、抢杠、杠分、补牌与风险权衡,人类化决策规则：第 7—14 章 / 9.3 杠牌响应,GP-014～GP-020,engine/legal.py; players/humanlike/candidates.py; players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py; engine/blood_battle.py; engine/session.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; players/humanlike/belief.py:35::build_public_belief; players/humanlike/belief.py:15::PublicBelief,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/test_analysis.py,tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts; tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_analysis.py::test_an03_strategy_best_min_shanten,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,规则转移实现较完整；AI 对杠后风险、呼叫转移和收益的评估较粗,无已识别硬阻塞,P0,部分完成,blood_battle/score/legal；杠与抢杠代码、基础测试,规则转移实现较完整；AI 对杠后风险、呼叫转移和收益的评估较粗
AU-034,碰牌响应,碰后结构、速度、暴露、后续出牌和让序,人类化决策规则：第 7—14 章 / 9.4 碰牌响应,"GP-008, GP-023",engine/legal.py; players/humanlike/candidates.py; players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json; players/humanlike/hand_analyzer.py; engine/shanten.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,合法性和偏好实现；是否碰主要由简化加分，不是完整多因素推演,无已识别硬阻塞,P0,部分完成,PONG legal/apply、profile peng preference,合法性和偏好实现；是否碰主要由简化加分，不是完整多因素推演
AU-035,摸牌后判断,胡/杠/出牌重新排序并更新计划,人类化决策规则：第 7—14 章 / 9.5 摸牌后判断,RP-023～RP-029,engine/orchestrator.py; players/humanlike/player.py,engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run; engine/orchestrator.py:342::_play_seat_action; players/humanlike/player.py:29::HumanlikeV2Player; players/humanlike/player.py:56::observe; players/humanlike/player.py:88::decide,main.py:128::PlayerGameRunner; engine/orchestrator.py:575::PlayerGameRunner; display/app.py:766::PlayerGameRunner; main.py:163::_play_seat_action; engine/orchestrator.py:244::_play_seat_action; players/humanlike/audit_replay.py:60::HumanlikeV2Player,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_humanlike_player_integration.py; tests/test_session_scores.py,tests/humanlike_v2/test_cognition.py::test_player_emits_trace_v2_and_cognitive_rp_slots; tests/humanlike_v2/test_deterministic_policy.py::test_player_dingque_and_trace_are_deterministic; tests/humanlike_v2/test_deterministic_policy.py::test_hidden_opponent_hands_cannot_change_decision; tests/humanlike_v2/test_humanlike_player_integration.py::test_registry_exposes_humanlike_without_changing_old_defaults; tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/test_session_scores.py::test_starting_scores_applied_at_run_start; tests/test_session_scores.py::test_second_hand_starts_from_previous_totals,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：每次请求基于新 PlayerView 重算；真实 deadline 不参与策略随机源,无已识别硬阻塞,P2,完成,orchestrator → policy 决策管线,每次请求基于新 PlayerView 重算；真实 deadline 不参与策略随机源
AU-036,出牌管线,清缺、牌效、听前/听后、结构保留与候选排序,人类化决策规则：第 7—14 章 / 10.1–10.5 出牌,"RP-003～RP-005, RP-019",engine/legal.py; players/humanlike/candidates.py; players/humanlike/hand_analyzer.py; engine/shanten.py; engine/win_check.py,engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal; players/humanlike/candidates.py:52::build_candidates; players/humanlike/candidates.py:24::stable_action_key; players/humanlike/candidates.py:35::CandidateSet; players/humanlike/hand_analyzer.py:51::analyze_action; players/humanlike/hand_analyzer.py:29::visible_hand,engine/legal.py:75::legal_discards; engine/blood_battle.py:479::action_in_legal; engine/orchestrator.py:387::action_in_legal; training/env.py:214::action_in_legal; players/humanlike/player.py:116::build_candidates; players/humanlike/attention.py:51::stable_action_key,tests/humanlike_v2/test_deterministic_policy.py; tests/test_analysis.py,tests/humanlike_v2/test_deterministic_policy.py::test_mandatory_hu_survives_candidate_cap; tests/humanlike_v2/test_deterministic_policy.py::test_stable_action_key_is_explicit; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_analysis.py::test_an03_strategy_best_min_shanten,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,基础牌效可靠；Humanlike v2 没有覆盖源文档全部拆搭/听牌保留细则,无已识别硬阻塞,P3,部分完成,shanten/ukeire、candidate/evaluator、F0011,基础牌效可靠；Humanlike v2 没有覆盖源文档全部拆搭/听牌保留细则
AU-037,防守风险,多家主观风险、点炮损失与安全牌,人类化决策规则：第 7—14 章 / 10.6 防守风险,RP-006～RP-018,players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py,players/humanlike/belief.py:35::build_public_belief; players/humanlike/belief.py:15::PublicBelief; players/analysis/opponent_model.py:10::estimate_opponents; players/analysis/danger.py:29::rate_discard_danger; players/analysis/danger.py:68::danger_map_for_tiles,players/humanlike/player.py:107::build_public_belief; players/humanlike/belief.py:96::PublicBelief; players/analysis/discard_accuracy.py:96::estimate_opponents; players/analysis/pipeline.py:46::estimate_opponents; players/analysis/danger.py:76::rate_discard_danger; players/analysis/pipeline.py:100::danger_map_for_tiles,tests/humanlike_v2/test_deterministic_policy.py; tests/test_discard_recommend.py; tests/test_f0011_integrated.py,tests/humanlike_v2/test_deterministic_policy.py::test_public_belief_uses_only_visible_counts; tests/humanlike_v2/test_deterministic_policy.py::test_evaluation_is_repeatable_and_rng_free; tests/test_discard_recommend.py::test_strategy_ranks_include_ukeire_tiles; tests/test_f0011_integrated.py::test_build_f0010_context_and_rank; tests/test_f0011_integrated.py::test_fan_proxy_and_baseline_compat,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）,PARTIAL,EV3,有公开信息危险代理；不是规范中的逐家听牌×等待×损失概率公式,无已识别硬阻塞,P2,部分完成,belief danger、F0010 danger、defense score,有公开信息危险代理；不是规范中的逐家听牌×等待×损失概率公式
AU-038,人类表现,节奏、不完全理性、安全牌储备、扣牌、信息表达、多轮计划、理由冲突,人类化决策规则：第 7—14 章 / 10.7–10.13 人类表现,"GP-024～GP-026, RP-024～RP-029",players/humanlike/plan.py; players/humanlike/cognition.py,players/humanlike/plan.py:19::choose_plan; players/humanlike/plan.py:11::PlanSnapshot; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round; players/humanlike/cognition.py:81::update_memory,players/humanlike/evaluator.py:90::choose_plan; players/humanlike/plan.py:21::PlanSnapshot; players/humanlike/player.py:82::begin_new_round; players/humanlike/player.py:122::update_memory,tests/humanlike_v2/test_cognition.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,有可复现思考时间和近似候选扰动；不真实 sleep，扣牌/诈唬/多轮序列计划未完整实现,无已识别硬阻塞,P2,部分完成,cognition/policy 的 think-time、bounded noise、plan、trace,有可复现思考时间和近似候选扰动；不真实 sleep，扣牌/诈唬/多轮序列计划未完整实现
AU-039,胡后处理,胡牌退出摸打、公开范围、继续观察和结算,人类化决策规则：第 7—14 章 / 11. 胡后处理,GP-011～GP-020,engine/score.py; engine/fan.py,engine/score.py:128::ScoreService; engine/score.py:158::apply_hu_zimo; engine/score.py:180::apply_hu_dianpao; engine/fan.py:258::compute_fan; engine/fan.py:87::apply_fan_cap; engine/fan.py:59::FanTable,engine/blood_battle.py:52::ScoreService; engine/blood_battle.py:512::apply_hu_zimo; engine/blood_battle.py:388::apply_hu_dianpao; engine/blood_battle.py:368::compute_fan; engine/fan.py:334::apply_fan_cap,tests/test_score.py; tests/test_score_ledger.py,tests/test_score.py::test_sc01_dianpao_fan2; tests/test_score.py::test_sc02_multi_ron; tests/test_score.py::test_sc03_zimo; tests/test_score.py::test_sc04_an_gang; tests/test_score.py::test_sc05_hua_zhu; tests/test_score.py::test_score_events_written; tests/test_score_ledger.py::test_ledger_matches_balances; tests/test_score_ledger.py::test_build_game_result_includes_score_events,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,TESTED,EV3,原审计边界说明（未找到明确缺口）：血战继续与公开范围实现；已胡 AI 的持续学习深度有限,无已识别硬阻塞,P2,完成,blood battle status、PlayerView visibility、score events,血战继续与公开范围实现；已胡 AI 的持续学习深度有限
AU-040,终局计分,胡/杠/花猪/查叫/退税/呼叫转移/封顶、总分与排名,人类化决策规则：第 7—14 章 / 12. 终局计分,"GP-023～GP-026, RP-024～RP-033",engine/blood_battle.py; engine/session.py; engine/orchestrator.py; engine/legal.py; engine/fan.py; configs/fan_table.json; engine/score.py,engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active; engine/blood_battle.py:474::apply_action; engine/session.py:33::GameSession; engine/session.py:68::apply; engine/session.py:161::play_random_game; engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run,engine/blood_battle.py:146::active_seats; engine/blood_battle.py:162::next_active; engine/orchestrator.py:234::next_active; training/env.py:415::next_active; engine/session.py:77::apply_action; main.py:144::GameSession,tests/humanlike_v2/test_humanlike_player_integration.py; tests/test_blood_battle.py,tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/test_blood_battle.py::test_b02_discard_pass_cycle; tests/test_blood_battle.py::test_force_complete_response_unblocks; tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu; tests/test_blood_battle.py::test_b10_random_games_terminate; tests/test_blood_battle.py::test_b11_more_random; tests/test_blood_battle.py::test_illegal_action,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,常见路径和账本可审计；全部平台配置组合、真实房规夹具和边界顺序未穷尽,无已识别硬阻塞,P0,部分完成,score/fan/result/reward；计分、账本、会话分数测试,常见路径和账本可审计；全部平台配置组合、真实房规夹具和边界顺序未穷尽
AU-041,玩家模型,水平、风格、情绪、记忆一致性、局后约束、解释记录,人类化决策规则：第 7—14 章 / 13. 玩家模型,"GP-023～GP-027, RP-024～RP-033",players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json; players/humanlike/cognition.py; players/humanlike/policy.py; players/humanlike/memory.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer; players/humanlike/cognition.py:24::CognitiveState; players/humanlike/cognition.py:51::begin_new_round,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_round_reset_keeps_only_bounded_public_impressions; tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail,docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）; docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,人格/情绪/解释已接入；长期学习和真人风格校准未实现,缺少已批准的外部能力/数据；合规真人数据与冻结评估集未找到,P0,部分完成,config/profile、cognition、audit trace v2,人格/情绪/解释已接入；长期学习和真人风格校准未实现
AU-042,有限认知,Top-K 注意、有限候选/深度、满意停止、惯性、近似选择、超时默认,人类化决策规则：第 7—14 章 / 14. 有限认知,"GP-024～GP-026, RP-024～RP-029",players/humanlike/runtime.py,players/humanlike/runtime.py:34::RoundRuntime; players/humanlike/runtime.py:46::create_round; players/humanlike/runtime.py:80::apply_event,未找到,tests/humanlike_v2/test_runtime.py,tests/humanlike_v2/test_runtime.py::test_event_decision_and_finalize_lifecycle; tests/humanlike_v2/test_runtime.py::test_unknown_rp_and_invalid_transition_fail,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,TESTED,EV3,未找到生产调用方；原审计边界说明（未找到明确缺口）：机制完整且确定可复现；有限推演是启发式评估，不是深层未来状态搜索,无已识别硬阻塞,P3,完成,attention/memory/cognition/policy；10 项 cognition 测试,机制完整且确定可复现；有限推演是启发式评估，不是深层未来状态搜索
AU-043,总体流程,配置→发牌→换牌→定缺→血战→结算→归档的统一流程,人类化决策规则：第 15—18 章与参数 / 15. 总体流程,"GP-001～GP-027, RP-001～RP-033",players/humanlike/runtime.py,players/humanlike/runtime.py:34::RoundRuntime; players/humanlike/runtime.py:46::create_round; players/humanlike/runtime.py:80::apply_event,未找到,tests/humanlike_v2/test_runtime.py,tests/humanlike_v2/test_runtime.py::test_event_decision_and_finalize_lifecycle; tests/humanlike_v2/test_runtime.py::test_unknown_rp_and_invalid_transition_fail,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,TESTED,EV3,未找到生产调用方；原审计边界说明（未找到明确缺口）：生产流程可跑通且确定；事件类型并非完全按源规范的原子事件对象实现,无已识别硬阻塞,P1,完成,orchestrator/session/opening/blood_battle；完整局和 2/3/4 人批跑,生产流程可跑通且确定；事件类型并非完全按源规范的原子事件对象实现
AU-044,阶段边界,第一阶段只做人类化规则与接口，不承诺自动学习最优策略,人类化决策规则：第 15—18 章与参数 / 16. 阶段边界,"GP-001, GP-023～GP-027",players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json; training/env.py; training/action_codec_v2.py; training/observations_v2.py; training/reward_v2.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer; training/env.py:54::ChengduMahjongEnv; training/env.py:130::reset,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）; docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：明确保留 rule_ai/current_s2 基线，不引入深度学习框架,无已识别硬阻塞,P1,完成,F0028 分层架构、profile opt-in,明确保留 rule_ai/current_s2 基线，不引入深度学习框架
